plate ID,dilution,cfu,notes
Zygosaccharomyces,20,2,
Zygosaccharomyces  ,20,49,
Zygosaccharomyces,20,284,
Zygosaccharomyces,20,155,
Saccharomyces,200,341,
Saccharomyces,200,356,
Saccharomyces,200,2132,counted 1/4
Saccharomyces,200,328,
Starmerella,200,21,
Starmerella,200,121,
Starmerella,200,380,
Starmerella,200,923,
Metschnikowia,200,1037,
Metschnikowia,200,871,
Metschnikowia,200,2812,counted 1/4
Metschnikowia,200,1568,counted 1/4
Rosenbergiella,2,20,
Rosenbergiella,2,0,
Rosenbergiella,2,0,
Rosenbergiella,2,0,
